timestamp,__name__,instance,job,namespace,phase,timestamp,argo_workflows_pods_total,layer,unit,treatment
2026-01-20 09:06:55.010999918+00:00,argo_workflows_pods_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Failed,1768900015.011,2,pod,pods,NoTreatment
2026-01-20 09:07:25.010999918+00:00,argo_workflows_pods_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Failed,1768900045.011,2,pod,pods,Treatment
2026-01-20 09:07:55.010999918+00:00,argo_workflows_pods_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Failed,1768900075.011,2,pod,pods,Treatment
2026-01-20 09:08:25.010999918+00:00,argo_workflows_pods_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Failed,1768900105.011,2,pod,pods,Treatment
2026-01-20 09:08:55.010999918+00:00,argo_workflows_pods_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Failed,1768900135.011,2,pod,pods,Treatment
2026-01-20 09:09:25.010999918+00:00,argo_workflows_pods_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Failed,1768900165.011,2,pod,pods,Treatment
2026-01-20 09:09:55.010999918+00:00,argo_workflows_pods_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Failed,1768900195.011,2,pod,pods,Treatment
2026-01-20 09:10:25.010999918+00:00,argo_workflows_pods_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Failed,1768900225.011,2,pod,pods,Treatment
2026-01-20 09:10:55.010999918+00:00,argo_workflows_pods_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Failed,1768900255.011,2,pod,pods,Treatment
2026-01-20 09:11:25.010999918+00:00,argo_workflows_pods_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Failed,1768900285.011,2,pod,pods,Treatment
2026-01-20 09:11:55.010999918+00:00,argo_workflows_pods_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Failed,1768900315.011,2,pod,pods,Treatment
2026-01-20 09:06:55.010999918+00:00,argo_workflows_pods_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Running,1768900015.011,45,pod,pods,NoTreatment
2026-01-20 09:07:25.010999918+00:00,argo_workflows_pods_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Running,1768900045.011,48,pod,pods,Treatment
2026-01-20 09:07:55.010999918+00:00,argo_workflows_pods_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Running,1768900075.011,52,pod,pods,Treatment
2026-01-20 09:08:25.010999918+00:00,argo_workflows_pods_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Running,1768900105.011,52,pod,pods,Treatment
2026-01-20 09:08:55.010999918+00:00,argo_workflows_pods_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Running,1768900135.011,52,pod,pods,Treatment
