timestamp,timestamp,argo_workflows_queue_adds_sum,layer,unit,treatment
2026-01-20 09:06:55.010999918+00:00,1768900015.011,860,workflow,counts,NoTreatment
2026-01-20 09:07:25.010999918+00:00,1768900045.011,889,workflow,counts,Treatment
2026-01-20 09:07:55.010999918+00:00,1768900075.011,916,workflow,counts,Treatment
2026-01-20 09:08:25.010999918+00:00,1768900105.011,927,workflow,counts,Treatment
2026-01-20 09:08:55.010999918+00:00,1768900135.011,927,workflow,counts,Treatment
2026-01-20 09:09:25.010999918+00:00,1768900165.011,927,workflow,counts,Treatment
2026-01-20 09:09:55.010999918+00:00,1768900195.011,927,workflow,counts,Treatment
2026-01-20 09:10:25.010999918+00:00,1768900225.011,937,workflow,counts,Treatment
2026-01-20 09:10:55.010999918+00:00,1768900255.011,947,workflow,counts,Treatment
2026-01-20 09:11:25.010999918+00:00,1768900285.011,956,workflow,counts,Treatment
2026-01-20 09:11:55.010999918+00:00,1768900315.011,960,workflow,counts,Treatment
