timestamp,app_kubernetes_io_instance,app_kubernetes_io_managed_by,app_kubernetes_io_name,app_kubernetes_io_part_of,app_kubernetes_io_version,helm_sh_chart,instance,job,namespace,node,node_name,path,service,zone,timestamp,kepler_node_cpu_power_raw,layer,unit,treatment
2026-01-20 09:06:55.010999918+00:00,kepler,Helm,kerpler-new,kepler,latest,kepler-0.0.0-dev,192.168.4.217:28282,kubernetes-service-endpoints,kepler,sm-gpu,sm-gpu,/host/sys/class/powercap/intel-rapl:0,kepler-kerpler-new,package,1768900015.011,15.878036854545444,node,watts,NoTreatment
2026-01-20 09:07:25.010999918+00:00,kepler,Helm,kerpler-new,kepler,latest,kepler-0.0.0-dev,192.168.4.217:28282,kubernetes-service-endpoints,kepler,sm-gpu,sm-gpu,/host/sys/class/powercap/intel-rapl:0,kepler-kerpler-new,package,1768900045.011,16.00263756363638,node,watts,Treatment
2026-01-20 09:07:55.010999918+00:00,kepler,Helm,kerpler-new,kepler,latest,kepler-0.0.0-dev,192.168.4.217:28282,kubernetes-service-endpoints,kepler,sm-gpu,sm-gpu,/host/sys/class/powercap/intel-rapl:0,kepler-kerpler-new,package,1768900075.011,16.194898636363657,node,watts,Treatment
2026-01-20 09:08:25.010999918+00:00,kepler,Helm,kerpler-new,kepler,latest,kepler-0.0.0-dev,192.168.4.217:28282,kubernetes-service-endpoints,kepler,sm-gpu,sm-gpu,/host/sys/class/powercap/intel-rapl:0,kepler-kerpler-new,package,1768900105.011,16.2908351090909,node,watts,Treatment
2026-01-20 09:08:55.010999918+00:00,kepler,Helm,kerpler-new,kepler,latest,kepler-0.0.0-dev,192.168.4.217:28282,kubernetes-service-endpoints,kepler,sm-gpu,sm-gpu,/host/sys/class/powercap/intel-rapl:0,kepler-kerpler-new,package,1768900135.011,16.485732199999983,node,watts,Treatment
2026-01-20 09:09:25.010999918+00:00,kepler,Helm,kerpler-new,kepler,latest,kepler-0.0.0-dev,192.168.4.217:28282,kubernetes-service-endpoints,kepler,sm-gpu,sm-gpu,/host/sys/class/powercap/intel-rapl:0,kepler-kerpler-new,package,1768900165.011,16.657849109090932,node,watts,Treatment
2026-01-20 09:09:55.010999918+00:00,kepler,Helm,kerpler-new,kepler,latest,kepler-0.0.0-dev,192.168.4.217:28282,kubernetes-service-endpoints,kepler,sm-gpu,sm-gpu,/host/sys/class/powercap/intel-rapl:0,kepler-kerpler-new,package,1768900195.011,16.744689581818204,node,watts,Treatment
2026-01-20 09:10:25.010999918+00:00,kepler,Helm,kerpler-new,kepler,latest,kepler-0.0.0-dev,192.168.4.217:28282,kubernetes-service-endpoints,kepler,sm-gpu,sm-gpu,/host/sys/class/powercap/intel-rapl:0,kepler-kerpler-new,package,1768900225.011,16.67041058181818,node,watts,Treatment
2026-01-20 09:10:55.010999918+00:00,kepler,Helm,kerpler-new,kepler,latest,kepler-0.0.0-dev,192.168.4.217:28282,kubernetes-service-endpoints,kepler,sm-gpu,sm-gpu,/host/sys/class/powercap/intel-rapl:0,kepler-kerpler-new,package,1768900255.011,16.734326072727278,node,watts,Treatment
2026-01-20 09:11:25.010999918+00:00,kepler,Helm,kerpler-new,kepler,latest,kepler-0.0.0-dev,192.168.4.217:28282,kubernetes-service-endpoints,kepler,sm-gpu,sm-gpu,/host/sys/class/powercap/intel-rapl:0,kepler-kerpler-new,package,1768900285.011,16.36499925454548,node,watts,Treatment
