timestamp,__name__,instance,job,kind,status_code,verb,timestamp,argo_workflows_k8s_requests_raw,layer,unit,treatment
2026-01-20 21:49:47.503000020+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,clusterworkflowtemplates,200,List,1768945787.503,1,workflow,requests,NoTreatment
2026-01-20 21:50:17.503000020+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,clusterworkflowtemplates,200,List,1768945817.503,1,workflow,requests,Treatment
2026-01-20 21:50:47.503000020+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,clusterworkflowtemplates,200,List,1768945847.503,1,workflow,requests,Treatment
2026-01-20 21:51:17.503000020+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,clusterworkflowtemplates,200,List,1768945877.503,1,workflow,requests,Treatment
2026-01-20 21:51:47.503000020+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,clusterworkflowtemplates,200,List,1768945907.503,1,workflow,requests,Treatment
2026-01-20 21:52:17.503000020+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,clusterworkflowtemplates,200,List,1768945937.503,1,workflow,requests,NoTreatment
2026-01-20 21:49:47.503000020+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,clusterworkflowtemplates,200,Watch,1768945787.503,584,workflow,requests,NoTreatment
2026-01-20 21:50:17.503000020+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,clusterworkflowtemplates,200,Watch,1768945817.503,584,workflow,requests,Treatment
2026-01-20 21:50:47.503000020+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,clusterworkflowtemplates,200,Watch,1768945847.503,584,workflow,requests,Treatment
2026-01-20 21:51:17.503000020+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,clusterworkflowtemplates,200,Watch,1768945877.503,584,workflow,requests,Treatment
2026-01-20 21:51:47.503000020+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,clusterworkflowtemplates,200,Watch,1768945907.503,584,workflow,requests,Treatment
2026-01-20 21:52:17.503000020+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,clusterworkflowtemplates,200,Watch,1768945937.503,585,workflow,requests,NoTreatment
2026-01-20 21:49:47.503000020+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,configmaps,200,Get,1768945787.503,98,workflow,requests,NoTreatment
2026-01-20 21:50:17.503000020+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,configmaps,200,Get,1768945817.503,98,workflow,requests,Treatment
2026-01-20 21:50:47.503000020+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,configmaps,200,Get,1768945847.503,98,workflow,requests,Treatment
2026-01-20 21:51:17.503000020+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,configmaps,200,Get,1768945877.503,98,workflow,requests,Treatment
2026-01-20 21:51:47.503000020+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,configmaps,200,Get,1768945907.503,98,workflow,requests,Treatment
2026-01-20 21:52:17.503000020+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,configmaps,200,Get,1768945937.503,98,workflow,requests,NoTreatment
2026-01-20 21:49:47.503000020+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,configmaps,200,List,1768945787.503,1,workflow,requests,NoTreatment
2026-01-20 21:50:17.503000020+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,configmaps,200,List,1768945817.503,1,workflow,requests,Treatment
