timestamp,__name__,instance,job,kind,status_code,verb,timestamp,argo_workflows_k8s_requests_raw,layer,unit,treatment
2026-01-20 08:57:09.885999918+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,clusterworkflowtemplates,200,List,1768899429.886,1,workflow,requests,NoTreatment
2026-01-20 08:57:39.885999918+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,clusterworkflowtemplates,200,List,1768899459.886,1,workflow,requests,Treatment
2026-01-20 08:58:09.885999918+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,clusterworkflowtemplates,200,List,1768899489.886,1,workflow,requests,Treatment
2026-01-20 08:58:39.885999918+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,clusterworkflowtemplates,200,List,1768899519.886,1,workflow,requests,Treatment
2026-01-20 08:57:09.885999918+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,clusterworkflowtemplates,200,Watch,1768899429.886,479,workflow,requests,NoTreatment
2026-01-20 08:57:39.885999918+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,clusterworkflowtemplates,200,Watch,1768899459.886,479,workflow,requests,Treatment
2026-01-20 08:58:09.885999918+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,clusterworkflowtemplates,200,Watch,1768899489.886,479,workflow,requests,Treatment
2026-01-20 08:58:39.885999918+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,clusterworkflowtemplates,200,Watch,1768899519.886,479,workflow,requests,Treatment
2026-01-20 08:57:09.885999918+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,configmaps,200,Get,1768899429.886,81,workflow,requests,NoTreatment
2026-01-20 08:57:39.885999918+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,configmaps,200,Get,1768899459.886,81,workflow,requests,Treatment
2026-01-20 08:58:09.885999918+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,configmaps,200,Get,1768899489.886,81,workflow,requests,Treatment
2026-01-20 08:58:39.885999918+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,configmaps,200,Get,1768899519.886,81,workflow,requests,Treatment
2026-01-20 08:57:09.885999918+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,configmaps,200,List,1768899429.886,1,workflow,requests,NoTreatment
2026-01-20 08:57:39.885999918+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,configmaps,200,List,1768899459.886,1,workflow,requests,Treatment
2026-01-20 08:58:09.885999918+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,configmaps,200,List,1768899489.886,1,workflow,requests,Treatment
2026-01-20 08:58:39.885999918+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,configmaps,200,List,1768899519.886,1,workflow,requests,Treatment
2026-01-20 08:57:09.885999918+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,configmaps,200,Watch,1768899429.886,638,workflow,requests,NoTreatment
2026-01-20 08:57:39.885999918+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,configmaps,200,Watch,1768899459.886,639,workflow,requests,Treatment
2026-01-20 08:58:09.885999918+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,configmaps,200,Watch,1768899489.886,639,workflow,requests,Treatment
2026-01-20 08:58:39.885999918+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,configmaps,200,Watch,1768899519.886,639,workflow,requests,Treatment
2026-01-20 08:57:09.885999918+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,configmaps,404,Get,1768899429.886,25,workflow,requests,NoTreatment
2026-01-20 08:57:39.885999918+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,configmaps,404,Get,1768899459.886,30,workflow,requests,Treatment
2026-01-20 08:58:09.885999918+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,configmaps,404,Get,1768899489.886,30,workflow,requests,Treatment
2026-01-20 08:58:39.885999918+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,configmaps,404,Get,1768899519.886,30,workflow,requests,Treatment
2026-01-20 08:57:09.885999918+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,cronworkflows,200,List,1768899429.886,1,workflow,requests,NoTreatment
2026-01-20 08:57:39.885999918+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,cronworkflows,200,List,1768899459.886,1,workflow,requests,Treatment
2026-01-20 08:58:09.885999918+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,cronworkflows,200,List,1768899489.886,1,workflow,requests,Treatment
2026-01-20 08:58:39.885999918+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,cronworkflows,200,List,1768899519.886,1,workflow,requests,Treatment
2026-01-20 08:57:09.885999918+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,cronworkflows,200,Watch,1768899429.886,483,workflow,requests,NoTreatment
2026-01-20 08:57:39.885999918+00:00,argo_workflows_k8s_request_total,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,cronworkflows,200,Watch,1768899459.886,483,workflow,requests,Treatment
