timestamp,__name__,instance,job,namespace,phase,timestamp,argo_workflows_pods_total,layer,unit,treatment
2026-01-20 08:57:09.885999918+00:00,argo_workflows_pods_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,pipeline,Failed,1768899429.886,14,pod,pods,NoTreatment
2026-01-20 08:57:39.885999918+00:00,argo_workflows_pods_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,pipeline,Failed,1768899459.886,14,pod,pods,Treatment
2026-01-20 08:58:09.885999918+00:00,argo_workflows_pods_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,pipeline,Failed,1768899489.886,14,pod,pods,Treatment
2026-01-20 08:58:39.885999918+00:00,argo_workflows_pods_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,pipeline,Failed,1768899519.886,14,pod,pods,Treatment
2026-01-20 08:57:09.885999918+00:00,argo_workflows_pods_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,pipeline,Running,1768899429.886,14,pod,pods,NoTreatment
2026-01-20 08:57:39.885999918+00:00,argo_workflows_pods_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,pipeline,Running,1768899459.886,14,pod,pods,Treatment
2026-01-20 08:58:09.885999918+00:00,argo_workflows_pods_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,pipeline,Running,1768899489.886,15,pod,pods,Treatment
2026-01-20 08:58:39.885999918+00:00,argo_workflows_pods_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,pipeline,Running,1768899519.886,15,pod,pods,Treatment
2026-01-20 08:57:39.885999918+00:00,argo_workflows_pods_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,pipeline,Succeeded,1768899459.886,7,pod,pods,Treatment
2026-01-20 08:58:09.885999918+00:00,argo_workflows_pods_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,pipeline,Succeeded,1768899489.886,18,pod,pods,Treatment
2026-01-20 08:58:39.885999918+00:00,argo_workflows_pods_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,pipeline,Succeeded,1768899519.886,23,pod,pods,Treatment
