timestamp,pod,timestamp,pod_memory_usage,layer,unit,treatment
2026-01-20 08:57:09.885999918+00:00,data-preprocess-57fb77c468-d95vk,1768899429.886,424923136,pod,bytes,NoTreatment
2026-01-20 08:57:39.885999918+00:00,data-preprocess-57fb77c468-d95vk,1768899459.886,424923136,pod,bytes,Treatment
2026-01-20 08:58:09.885999918+00:00,data-preprocess-57fb77c468-d95vk,1768899489.886,426897408,pod,bytes,Treatment
2026-01-20 08:58:39.885999918+00:00,data-preprocess-57fb77c468-d95vk,1768899519.886,426897408,pod,bytes,Treatment
2026-01-20 08:57:09.885999918+00:00,data-quality-6df8969f99-4zgtm,1768899429.886,449499136,pod,bytes,NoTreatment
2026-01-20 08:57:39.885999918+00:00,data-quality-6df8969f99-4zgtm,1768899459.886,454549504,pod,bytes,Treatment
2026-01-20 08:58:09.885999918+00:00,data-quality-6df8969f99-4zgtm,1768899489.886,454623232,pod,bytes,Treatment
2026-01-20 08:58:39.885999918+00:00,data-quality-6df8969f99-4zgtm,1768899519.886,454950912,pod,bytes,Treatment
2026-01-20 08:57:09.885999918+00:00,debug,1768899429.886,6733824,pod,bytes,NoTreatment
2026-01-20 08:57:39.885999918+00:00,debug,1768899459.886,6733824,pod,bytes,Treatment
2026-01-20 08:58:09.885999918+00:00,debug,1768899489.886,6733824,pod,bytes,Treatment
2026-01-20 08:58:39.885999918+00:00,debug,1768899519.886,6733824,pod,bytes,Treatment
2026-01-20 08:57:09.885999918+00:00,debug2,1768899429.886,937984,pod,bytes,NoTreatment
2026-01-20 08:57:39.885999918+00:00,debug2,1768899459.886,937984,pod,bytes,Treatment
2026-01-20 08:58:09.885999918+00:00,debug2,1768899489.886,937984,pod,bytes,Treatment
2026-01-20 08:58:09.885999918+00:00,evaluation-only-hpvz4-call-data-quality-service-2414209383,1768899489.886,5402624,pod,bytes,Treatment
2026-01-20 08:58:39.885999918+00:00,evaluation-only-hpvz4-call-data-quality-service-2414209383,1768899519.886,5402624,pod,bytes,Treatment
2026-01-20 08:57:39.885999918+00:00,evaluation-only-hpvz4-call-privacy-tracking-service-3627376712,1768899459.886,3280896,pod,bytes,Treatment
2026-01-20 08:58:09.885999918+00:00,evaluation-only-hpvz4-call-privacy-tracking-service-3627376712,1768899489.886,3280896,pod,bytes,Treatment
2026-01-20 08:58:39.885999918+00:00,evaluation-only-hpvz4-call-privacy-tracking-service-3627376712,1768899519.886,3280896,pod,bytes,Treatment
2026-01-20 08:58:09.885999918+00:00,full-data-generation-and-evaluation-cr92f-call-data-preprocess-service-2411054969,1768899489.886,5582848,pod,bytes,Treatment
2026-01-20 08:58:39.885999918+00:00,full-data-generation-and-evaluation-cr92f-call-data-preprocess-service-2411054969,1768899519.886,5582848,pod,bytes,Treatment
2026-01-20 08:58:39.885999918+00:00,full-data-generation-and-evaluation-cr92f-call-data-quality-service-2831106225,1768899519.886,4878336,pod,bytes,Treatment
2026-01-20 08:58:09.885999918+00:00,full-data-generation-and-evaluation-cr92f-call-generate-id-service-2855515588,1768899489.886,4960256,pod,bytes,Treatment
2026-01-20 08:58:39.885999918+00:00,full-data-generation-and-evaluation-cr92f-call-generate-id-service-2855515588,1768899519.886,4960256,pod,bytes,Treatment
2026-01-20 08:58:39.885999918+00:00,full-data-generation-and-evaluation-cr92f-call-privacy-tracking-service-1030842552,1768899519.886,5132288,pod,bytes,Treatment
2026-01-20 08:58:39.885999918+00:00,full-data-generation-and-evaluation-cr92f-call-synthetic-generator-service-3258589078,1768899519.886,5218304,pod,bytes,Treatment
2026-01-20 08:57:09.885999918+00:00,generate-address-7f49698cc6-9jk6g,1768899429.886,74416128,pod,bytes,NoTreatment
2026-01-20 08:57:39.885999918+00:00,generate-address-7f49698cc6-9jk6g,1768899459.886,77963264,pod,bytes,Treatment
2026-01-20 08:58:09.885999918+00:00,generate-address-7f49698cc6-9jk6g,1768899489.886,78032896,pod,bytes,Treatment
2026-01-20 08:58:39.885999918+00:00,generate-address-7f49698cc6-9jk6g,1768899519.886,78032896,pod,bytes,Treatment
2026-01-20 08:57:09.885999918+00:00,generate-birthday-6744559788-hxkl6,1768899429.886,77930496,pod,bytes,NoTreatment
2026-01-20 08:57:39.885999918+00:00,generate-birthday-6744559788-hxkl6,1768899459.886,81334272,pod,bytes,Treatment
2026-01-20 08:58:09.885999918+00:00,generate-birthday-6744559788-hxkl6,1768899489.886,81354752,pod,bytes,Treatment
2026-01-20 08:58:39.885999918+00:00,generate-birthday-6744559788-hxkl6,1768899519.886,81354752,pod,bytes,Treatment
2026-01-20 08:57:09.885999918+00:00,generate-id-6848b7d6f5-7tpmv,1768899429.886,74375168,pod,bytes,NoTreatment
2026-01-20 08:57:39.885999918+00:00,generate-id-6848b7d6f5-7tpmv,1768899459.886,82362368,pod,bytes,Treatment
2026-01-20 08:58:09.885999918+00:00,generate-id-6848b7d6f5-7tpmv,1768899489.886,82563072,pod,bytes,Treatment
2026-01-20 08:58:39.885999918+00:00,generate-id-6848b7d6f5-7tpmv,1768899519.886,82563072,pod,bytes,Treatment
2026-01-20 08:57:09.885999918+00:00,generate-name-d78ffc68f-2b5sw,1768899429.886,75894784,pod,bytes,NoTreatment
