timestamp,phase,timestamp,argo_workflows_completed_total,layer,unit,treatment
2026-01-20 14:52:00.489000082+00:00,Failed,1768920720.489,10,workflow,workflows,NoTreatment
2026-01-20 14:52:30.489000082+00:00,Failed,1768920750.489,10,workflow,workflows,Treatment
2026-01-20 14:53:00.489000082+00:00,Failed,1768920780.489,10,workflow,workflows,Treatment
2026-01-20 14:53:30.489000082+00:00,Failed,1768920810.489,10,workflow,workflows,Treatment
2026-01-20 14:52:00.489000082+00:00,Running,1768920720.489,15,workflow,workflows,NoTreatment
2026-01-20 14:52:30.489000082+00:00,Running,1768920750.489,20,workflow,workflows,Treatment
2026-01-20 14:53:00.489000082+00:00,Running,1768920780.489,20,workflow,workflows,Treatment
2026-01-20 14:53:30.489000082+00:00,Running,1768920810.489,20,workflow,workflows,Treatment
2026-01-20 14:52:00.489000082+00:00,Succeeded,1768920720.489,5,workflow,workflows,NoTreatment
2026-01-20 14:52:30.489000082+00:00,Succeeded,1768920750.489,5,workflow,workflows,Treatment
2026-01-20 14:53:00.489000082+00:00,Succeeded,1768920780.489,8,workflow,workflows,Treatment
2026-01-20 14:53:30.489000082+00:00,Succeeded,1768920810.489,9,workflow,workflows,Treatment
