timestamp,app_kubernetes_io_instance,app_kubernetes_io_managed_by,app_kubernetes_io_name,app_kubernetes_io_part_of,app_kubernetes_io_version,helm_sh_chart,instance,job,namespace,node,node_name,path,service,zone,timestamp,kepler_node_cpu_power_raw,layer,unit,treatment
2026-01-20 14:52:00.489000082+00:00,kepler,Helm,kerpler-new,kepler,latest,kepler-0.0.0-dev,192.168.4.217:28282,kubernetes-service-endpoints,kepler,sm-gpu,sm-gpu,/host/sys/class/powercap/intel-rapl:0,kepler-kerpler-new,package,1768920720.489,18.2490457090909,node,watts,NoTreatment
2026-01-20 14:52:30.489000082+00:00,kepler,Helm,kerpler-new,kepler,latest,kepler-0.0.0-dev,192.168.4.217:28282,kubernetes-service-endpoints,kepler,sm-gpu,sm-gpu,/host/sys/class/powercap/intel-rapl:0,kepler-kerpler-new,package,1768920750.489,17.6703755272727,node,watts,Treatment
2026-01-20 14:53:00.489000082+00:00,kepler,Helm,kerpler-new,kepler,latest,kepler-0.0.0-dev,192.168.4.217:28282,kubernetes-service-endpoints,kepler,sm-gpu,sm-gpu,/host/sys/class/powercap/intel-rapl:0,kepler-kerpler-new,package,1768920780.489,17.22357965454549,node,watts,Treatment
2026-01-20 14:53:30.489000082+00:00,kepler,Helm,kerpler-new,kepler,latest,kepler-0.0.0-dev,192.168.4.217:28282,kubernetes-service-endpoints,kepler,sm-gpu,sm-gpu,/host/sys/class/powercap/intel-rapl:0,kepler-kerpler-new,package,1768920810.489,17.125878545454444,node,watts,Treatment
2026-01-20 14:52:00.489000082+00:00,kepler,Helm,kerpler-new,kepler,latest,kepler-0.0.0-dev,192.168.4.217:28282,kubernetes-service-endpoints,kepler,sm-gpu,sm-gpu,/host/sys/class/powercap/intel-rapl:0:0,kepler-kerpler-new,core,1768920720.489,0.47233525454545416,node,watts,NoTreatment
2026-01-20 14:52:30.489000082+00:00,kepler,Helm,kerpler-new,kepler,latest,kepler-0.0.0-dev,192.168.4.217:28282,kubernetes-service-endpoints,kepler,sm-gpu,sm-gpu,/host/sys/class/powercap/intel-rapl:0:0,kepler-kerpler-new,core,1768920750.489,0.4174880181818232,node,watts,Treatment
2026-01-20 14:53:00.489000082+00:00,kepler,Helm,kerpler-new,kepler,latest,kepler-0.0.0-dev,192.168.4.217:28282,kubernetes-service-endpoints,kepler,sm-gpu,sm-gpu,/host/sys/class/powercap/intel-rapl:0:0,kepler-kerpler-new,core,1768920780.489,0.7748037272727246,node,watts,Treatment
2026-01-20 14:53:30.489000082+00:00,kepler,Helm,kerpler-new,kepler,latest,kepler-0.0.0-dev,192.168.4.217:28282,kubernetes-service-endpoints,kepler,sm-gpu,sm-gpu,/host/sys/class/powercap/intel-rapl:0:0,kepler-kerpler-new,core,1768920810.489,1.639624127272724,node,watts,Treatment
2026-01-20 14:52:00.489000082+00:00,kepler,Helm,kerpler-new,kepler,latest,kepler-0.0.0-dev,192.168.6.8:28282,kubernetes-service-endpoints,kepler,gisele,gisele,/host/sys/class/powercap/intel-rapl:0,kepler-kerpler-new,package,1768920720.489,24.13095074545457,node,watts,NoTreatment
2026-01-20 14:52:30.489000082+00:00,kepler,Helm,kerpler-new,kepler,latest,kepler-0.0.0-dev,192.168.6.8:28282,kubernetes-service-endpoints,kepler,gisele,gisele,/host/sys/class/powercap/intel-rapl:0,kepler-kerpler-new,package,1768920750.489,30.612821127272696,node,watts,Treatment
2026-01-20 14:53:00.489000082+00:00,kepler,Helm,kerpler-new,kepler,latest,kepler-0.0.0-dev,192.168.6.8:28282,kubernetes-service-endpoints,kepler,gisele,gisele,/host/sys/class/powercap/intel-rapl:0,kepler-kerpler-new,package,1768920780.489,31.007503399999933,node,watts,Treatment
2026-01-20 14:53:30.489000082+00:00,kepler,Helm,kerpler-new,kepler,latest,kepler-0.0.0-dev,192.168.6.8:28282,kubernetes-service-endpoints,kepler,gisele,gisele,/host/sys/class/powercap/intel-rapl:0,kepler-kerpler-new,package,1768920810.489,25.081072600000002,node,watts,Treatment
2026-01-20 14:52:00.489000082+00:00,kepler,Helm,kerpler-new,kepler,latest,kepler-0.0.0-dev,192.168.6.8:28282,kubernetes-service-endpoints,kepler,gisele,gisele,/host/sys/class/powercap/intel-rapl:0:0,kepler-kerpler-new,core,1768920720.489,12.928193999999943,node,watts,NoTreatment
2026-01-20 14:52:30.489000082+00:00,kepler,Helm,kerpler-new,kepler,latest,kepler-0.0.0-dev,192.168.6.8:28282,kubernetes-service-endpoints,kepler,gisele,gisele,/host/sys/class/powercap/intel-rapl:0:0,kepler-kerpler-new,core,1768920750.489,19.38925478181812,node,watts,Treatment
2026-01-20 14:53:00.489000082+00:00,kepler,Helm,kerpler-new,kepler,latest,kepler-0.0.0-dev,192.168.6.8:28282,kubernetes-service-endpoints,kepler,gisele,gisele,/host/sys/class/powercap/intel-rapl:0:0,kepler-kerpler-new,core,1768920780.489,19.777402981818355,node,watts,Treatment
2026-01-20 14:53:30.489000082+00:00,kepler,Helm,kerpler-new,kepler,latest,kepler-0.0.0-dev,192.168.6.8:28282,kubernetes-service-endpoints,kepler,gisele,gisele,/host/sys/class/powercap/intel-rapl:0:0,kepler-kerpler-new,core,1768920810.489,13.870056145454608,node,watts,Treatment
2026-01-20 14:52:00.489000082+00:00,kepler,Helm,kerpler-new,kepler,latest,kepler-0.0.0-dev,192.168.6.8:28282,kubernetes-service-endpoints,kepler,gisele,gisele,/host/sys/class/powercap/intel-rapl:0:1,kepler-kerpler-new,dram,1768920720.489,1.9504810727272839,node,watts,NoTreatment
2026-01-20 14:52:30.489000082+00:00,kepler,Helm,kerpler-new,kepler,latest,kepler-0.0.0-dev,192.168.6.8:28282,kubernetes-service-endpoints,kepler,gisele,gisele,/host/sys/class/powercap/intel-rapl:0:1,kepler-kerpler-new,dram,1768920750.489,2.1103506000000793,node,watts,Treatment
2026-01-20 14:53:00.489000082+00:00,kepler,Helm,kerpler-new,kepler,latest,kepler-0.0.0-dev,192.168.6.8:28282,kubernetes-service-endpoints,kepler,gisele,gisele,/host/sys/class/powercap/intel-rapl:0:1,kepler-kerpler-new,dram,1768920780.489,2.1660400363635164,node,watts,Treatment
2026-01-20 14:53:30.489000082+00:00,kepler,Helm,kerpler-new,kepler,latest,kepler-0.0.0-dev,192.168.6.8:28282,kubernetes-service-endpoints,kepler,gisele,gisele,/host/sys/class/powercap/intel-rapl:0:1,kepler-kerpler-new,dram,1768920810.489,2.0289931636364518,node,watts,Treatment
