timestamp,pod,timestamp,pod_memory_usage,layer,unit,treatment
2026-01-20 15:26:50.940999985+00:00,data-preprocess-57fb77c468-kk6nk,1768922810.941,682696704,pod,bytes,NoTreatment
2026-01-20 15:27:20.940999985+00:00,data-preprocess-57fb77c468-kk6nk,1768922840.941,682696704,pod,bytes,Treatment
2026-01-20 15:27:50.940999985+00:00,data-preprocess-57fb77c468-kk6nk,1768922870.941,682704896,pod,bytes,Treatment
2026-01-20 15:28:20.940999985+00:00,data-preprocess-57fb77c468-kk6nk,1768922900.941,682704896,pod,bytes,Treatment
2026-01-20 15:26:50.940999985+00:00,data-quality-6df8969f99-qgvdv,1768922810.941,758444032,pod,bytes,NoTreatment
2026-01-20 15:27:20.940999985+00:00,data-quality-6df8969f99-qgvdv,1768922840.941,758435840,pod,bytes,Treatment
2026-01-20 15:27:50.940999985+00:00,data-quality-6df8969f99-qgvdv,1768922870.941,758603776,pod,bytes,Treatment
2026-01-20 15:28:20.940999985+00:00,data-quality-6df8969f99-qgvdv,1768922900.941,758624256,pod,bytes,Treatment
2026-01-20 15:27:20.940999985+00:00,evaluation-only-8bz5c-call-privacy-tracking-service-1897405036,1768922840.941,4997120,pod,bytes,Treatment
2026-01-20 15:27:50.940999985+00:00,evaluation-only-8bz5c-call-privacy-tracking-service-1897405036,1768922870.941,4997120,pod,bytes,Treatment
2026-01-20 15:28:20.940999985+00:00,evaluation-only-8bz5c-call-privacy-tracking-service-1897405036,1768922900.941,4997120,pod,bytes,Treatment
2026-01-20 15:26:50.940999985+00:00,generate-address-7f49698cc6-lbcgn,1768922810.941,93601792,pod,bytes,NoTreatment
2026-01-20 15:27:20.940999985+00:00,generate-address-7f49698cc6-lbcgn,1768922840.941,93605888,pod,bytes,Treatment
2026-01-20 15:27:50.940999985+00:00,generate-address-7f49698cc6-lbcgn,1768922870.941,93609984,pod,bytes,Treatment
2026-01-20 15:28:20.940999985+00:00,generate-address-7f49698cc6-lbcgn,1768922900.941,93609984,pod,bytes,Treatment
2026-01-20 15:26:50.940999985+00:00,generate-birthday-6744559788-hh27v,1768922810.941,104529920,pod,bytes,NoTreatment
2026-01-20 15:27:20.940999985+00:00,generate-birthday-6744559788-hh27v,1768922840.941,104529920,pod,bytes,Treatment
2026-01-20 15:27:50.940999985+00:00,generate-birthday-6744559788-hh27v,1768922870.941,104529920,pod,bytes,Treatment
2026-01-20 15:28:20.940999985+00:00,generate-birthday-6744559788-hh27v,1768922900.941,104529920,pod,bytes,Treatment
2026-01-20 15:26:50.940999985+00:00,generate-id-6848b7d6f5-5gn58,1768922810.941,95870976,pod,bytes,NoTreatment
2026-01-20 15:27:20.940999985+00:00,generate-id-6848b7d6f5-5gn58,1768922840.941,95870976,pod,bytes,Treatment
2026-01-20 15:27:50.940999985+00:00,generate-id-6848b7d6f5-5gn58,1768922870.941,95928320,pod,bytes,Treatment
2026-01-20 15:28:20.940999985+00:00,generate-id-6848b7d6f5-5gn58,1768922900.941,95928320,pod,bytes,Treatment
2026-01-20 15:26:50.940999985+00:00,generate-name-d78ffc68f-qv4lm,1768922810.941,107864064,pod,bytes,NoTreatment
2026-01-20 15:27:20.940999985+00:00,generate-name-d78ffc68f-qv4lm,1768922840.941,107868160,pod,bytes,Treatment
2026-01-20 15:27:50.940999985+00:00,generate-name-d78ffc68f-qv4lm,1768922870.941,107868160,pod,bytes,Treatment
2026-01-20 15:28:20.940999985+00:00,generate-name-d78ffc68f-qv4lm,1768922900.941,107868160,pod,bytes,Treatment
2026-01-20 15:26:50.940999985+00:00,load-data-8fb4988b7-w25kt,1768922810.941,40722432,pod,bytes,NoTreatment
2026-01-20 15:27:20.940999985+00:00,load-data-8fb4988b7-w25kt,1768922840.941,40828928,pod,bytes,Treatment
2026-01-20 15:27:50.940999985+00:00,load-data-8fb4988b7-w25kt,1768922870.941,40734720,pod,bytes,Treatment
2026-01-20 15:28:20.940999985+00:00,load-data-8fb4988b7-w25kt,1768922900.941,40734720,pod,bytes,Treatment
2026-01-20 15:27:20.940999985+00:00,parallel-evaluation-only-9qgxh-call-privacy-tracking-service-3164684379,1768922840.941,4562944,pod,bytes,Treatment
2026-01-20 15:27:50.940999985+00:00,parallel-evaluation-only-9qgxh-call-privacy-tracking-service-3164684379,1768922870.941,4562944,pod,bytes,Treatment
2026-01-20 15:28:20.940999985+00:00,parallel-evaluation-only-9qgxh-call-privacy-tracking-service-3164684379,1768922900.941,4562944,pod,bytes,Treatment
2026-01-20 15:26:50.940999985+00:00,privacy-tracking-6d8c94558d-6tfjc,1768922810.941,757071872,pod,bytes,NoTreatment
2026-01-20 15:27:20.940999985+00:00,privacy-tracking-6d8c94558d-6tfjc,1768922840.941,763170816,pod,bytes,Treatment
2026-01-20 15:27:50.940999985+00:00,privacy-tracking-6d8c94558d-6tfjc,1768922870.941,768753664,pod,bytes,Treatment
2026-01-20 15:28:20.940999985+00:00,privacy-tracking-6d8c94558d-6tfjc,1768922900.941,768757760,pod,bytes,Treatment
2026-01-20 15:27:20.940999985+00:00,synthesize-only-zgt9n-call-synthetic-generator-service-3163793853,1768922840.941,2740224,pod,bytes,Treatment
2026-01-20 15:27:50.940999985+00:00,synthesize-only-zgt9n-call-synthetic-generator-service-3163793853,1768922870.941,2740224,pod,bytes,Treatment
2026-01-20 15:28:20.940999985+00:00,synthesize-only-zgt9n-call-synthetic-generator-service-3163793853,1768922900.941,2740224,pod,bytes,Treatment
2026-01-20 15:26:50.940999985+00:00,synthetic-generator-5bbc957b49-dhgxd,1768922810.941,870801408,pod,bytes,NoTreatment
2026-01-20 15:27:20.940999985+00:00,synthetic-generator-5bbc957b49-dhgxd,1768922840.941,870793216,pod,bytes,Treatment
2026-01-20 15:27:50.940999985+00:00,synthetic-generator-5bbc957b49-dhgxd,1768922870.941,873656320,pod,bytes,Treatment
2026-01-20 15:28:20.940999985+00:00,synthetic-generator-5bbc957b49-dhgxd,1768922900.941,873660416,pod,bytes,Treatment
