timestamp,phase,timestamp,argo_workflows_completed_total,layer,unit,treatment
2026-01-20 22:04:56.486000061+00:00,Failed,1768946696.486,10,workflow,workflows,NoTreatment
2026-01-20 22:05:26.486000061+00:00,Failed,1768946726.486,10,workflow,workflows,Treatment
2026-01-20 22:05:56.486000061+00:00,Failed,1768946756.486,10,workflow,workflows,Treatment
2026-01-20 22:06:26.486000061+00:00,Failed,1768946786.486,10,workflow,workflows,Treatment
2026-01-20 22:04:56.486000061+00:00,Running,1768946696.486,30,workflow,workflows,NoTreatment
2026-01-20 22:05:26.486000061+00:00,Running,1768946726.486,35,workflow,workflows,Treatment
2026-01-20 22:05:56.486000061+00:00,Running,1768946756.486,35,workflow,workflows,Treatment
2026-01-20 22:06:26.486000061+00:00,Running,1768946786.486,35,workflow,workflows,Treatment
2026-01-20 22:04:56.486000061+00:00,Succeeded,1768946696.486,20,workflow,workflows,NoTreatment
2026-01-20 22:05:26.486000061+00:00,Succeeded,1768946726.486,20,workflow,workflows,Treatment
2026-01-20 22:05:56.486000061+00:00,Succeeded,1768946756.486,23,workflow,workflows,Treatment
2026-01-20 22:06:26.486000061+00:00,Succeeded,1768946786.486,24,workflow,workflows,Treatment
