timestamp,__name__,exported_instance,instance,job,node,timestamp,wall_power,layer,unit,treatment
2026-01-20 22:04:56.486000061+00:00,shelly_apower_watts,shellyplugsg3-e4b063d850bc,ise-energy.ise.tu-berlin.de:9110,shelly,nuc,1768946696.486,5.3,cluster,watts,NoTreatment
2026-01-20 22:05:26.486000061+00:00,shelly_apower_watts,shellyplugsg3-e4b063d850bc,ise-energy.ise.tu-berlin.de:9110,shelly,nuc,1768946726.486,6.3,cluster,watts,Treatment
2026-01-20 22:05:56.486000061+00:00,shelly_apower_watts,shellyplugsg3-e4b063d850bc,ise-energy.ise.tu-berlin.de:9110,shelly,nuc,1768946756.486,5.4,cluster,watts,Treatment
2026-01-20 22:06:26.486000061+00:00,shelly_apower_watts,shellyplugsg3-e4b063d850bc,ise-energy.ise.tu-berlin.de:9110,shelly,nuc,1768946786.486,6.1,cluster,watts,Treatment
2026-01-20 22:04:56.486000061+00:00,shelly_apower_watts,shellyplugsg3-e4b063dcdf60,ise-energy.ise.tu-berlin.de:9110,shelly,gisele,1768946696.486,91.5,cluster,watts,NoTreatment
2026-01-20 22:05:26.486000061+00:00,shelly_apower_watts,shellyplugsg3-e4b063dcdf60,ise-energy.ise.tu-berlin.de:9110,shelly,gisele,1768946726.486,121.5,cluster,watts,Treatment
2026-01-20 22:05:56.486000061+00:00,shelly_apower_watts,shellyplugsg3-e4b063dcdf60,ise-energy.ise.tu-berlin.de:9110,shelly,gisele,1768946756.486,87.7,cluster,watts,Treatment
2026-01-20 22:06:26.486000061+00:00,shelly_apower_watts,shellyplugsg3-e4b063dcdf60,ise-energy.ise.tu-berlin.de:9110,shelly,gisele,1768946786.486,92.7,cluster,watts,Treatment
2026-01-20 22:04:56.486000061+00:00,shelly_apower_watts,shellyplugsg3-e4b063de2610,ise-energy.ise.tu-berlin.de:9110,shelly,sm-gpu,1768946696.486,52.4,cluster,watts,NoTreatment
2026-01-20 22:05:26.486000061+00:00,shelly_apower_watts,shellyplugsg3-e4b063de2610,ise-energy.ise.tu-berlin.de:9110,shelly,sm-gpu,1768946726.486,54.7,cluster,watts,Treatment
2026-01-20 22:05:56.486000061+00:00,shelly_apower_watts,shellyplugsg3-e4b063de2610,ise-energy.ise.tu-berlin.de:9110,shelly,sm-gpu,1768946756.486,52.6,cluster,watts,Treatment
2026-01-20 22:06:26.486000061+00:00,shelly_apower_watts,shellyplugsg3-e4b063de2610,ise-energy.ise.tu-berlin.de:9110,shelly,sm-gpu,1768946786.486,52.9,cluster,watts,Treatment
2026-01-20 22:04:56.486000061+00:00,shelly_apower_watts,shellyplugsg3-e4b063e44044,ise-energy.ise.tu-berlin.de:9110,shelly,ise3,1768946696.486,0.0,cluster,watts,NoTreatment
2026-01-20 22:05:26.486000061+00:00,shelly_apower_watts,shellyplugsg3-e4b063e44044,ise-energy.ise.tu-berlin.de:9110,shelly,ise3,1768946726.486,0.0,cluster,watts,Treatment
2026-01-20 22:05:56.486000061+00:00,shelly_apower_watts,shellyplugsg3-e4b063e44044,ise-energy.ise.tu-berlin.de:9110,shelly,ise3,1768946756.486,0.0,cluster,watts,Treatment
2026-01-20 22:06:26.486000061+00:00,shelly_apower_watts,shellyplugsg3-e4b063e44044,ise-energy.ise.tu-berlin.de:9110,shelly,ise3,1768946786.486,0.0,cluster,watts,Treatment
