timestamp,code,component,instance,job,resource,scope,subresource,verb,version,timestamp,apiserver_request_rate,layer,unit,treatment
2026-01-15 17:04:58.187000036+00:00,0,apiserver,130.149.158.130:6443,kubernetes-apiservers,pods,resource,exec,CONNECT,v1,1768496698.187,0.0,cluster,requests_per_second,NoTreatment
2026-01-15 17:05:28.187000036+00:00,0,apiserver,130.149.158.130:6443,kubernetes-apiservers,pods,resource,exec,CONNECT,v1,1768496728.187,0.0,cluster,requests_per_second,Treatment
2026-01-15 17:05:58.187000036+00:00,0,apiserver,130.149.158.130:6443,kubernetes-apiservers,pods,resource,exec,CONNECT,v1,1768496758.187,0.0,cluster,requests_per_second,Treatment
2026-01-15 17:06:28.187000036+00:00,0,apiserver,130.149.158.130:6443,kubernetes-apiservers,pods,resource,exec,CONNECT,v1,1768496788.187,0.0,cluster,requests_per_second,Treatment
2026-01-15 17:06:58.187000036+00:00,0,apiserver,130.149.158.130:6443,kubernetes-apiservers,pods,resource,exec,CONNECT,v1,1768496818.187,0.0,cluster,requests_per_second,NoTreatment
2026-01-15 17:04:58.187000036+00:00,200,apiserver,130.149.158.130:6443,kubernetes-apiservers,challenges,cluster,,LIST,v1,1768496698.187,0.0,cluster,requests_per_second,NoTreatment
2026-01-15 17:05:28.187000036+00:00,200,apiserver,130.149.158.130:6443,kubernetes-apiservers,challenges,cluster,,LIST,v1,1768496728.187,0.0,cluster,requests_per_second,Treatment
2026-01-15 17:05:58.187000036+00:00,200,apiserver,130.149.158.130:6443,kubernetes-apiservers,challenges,cluster,,LIST,v1,1768496758.187,0.0,cluster,requests_per_second,Treatment
2026-01-15 17:06:28.187000036+00:00,200,apiserver,130.149.158.130:6443,kubernetes-apiservers,challenges,cluster,,LIST,v1,1768496788.187,0.0,cluster,requests_per_second,Treatment
2026-01-15 17:06:58.187000036+00:00,200,apiserver,130.149.158.130:6443,kubernetes-apiservers,challenges,cluster,,LIST,v1,1768496818.187,0.0,cluster,requests_per_second,NoTreatment
2026-01-15 17:04:58.187000036+00:00,200,apiserver,130.149.158.130:6443,kubernetes-apiservers,challenges,cluster,,WATCH,v1,1768496698.187,0.0,cluster,requests_per_second,NoTreatment
2026-01-15 17:05:28.187000036+00:00,200,apiserver,130.149.158.130:6443,kubernetes-apiservers,challenges,cluster,,WATCH,v1,1768496728.187,0.0,cluster,requests_per_second,Treatment
