timestamp,pod,timestamp,pod_memory_usage,layer,unit,treatment
2026-01-15 17:04:58.187000036+00:00,data-preprocess-7bbb9c67fb-bmtnb,1768496698.187,471855104,pod,bytes,NoTreatment
2026-01-15 17:05:28.187000036+00:00,data-preprocess-7bbb9c67fb-bmtnb,1768496728.187,471855104,pod,bytes,Treatment
2026-01-15 17:05:58.187000036+00:00,data-preprocess-7bbb9c67fb-bmtnb,1768496758.187,471855104,pod,bytes,Treatment
2026-01-15 17:06:28.187000036+00:00,data-preprocess-7bbb9c67fb-bmtnb,1768496788.187,471859200,pod,bytes,Treatment
2026-01-15 17:06:58.187000036+00:00,data-preprocess-7bbb9c67fb-bmtnb,1768496818.187,471859200,pod,bytes,NoTreatment
2026-01-15 17:04:58.187000036+00:00,data-quality-d799c97f-nlsvf,1768496698.187,476790784,pod,bytes,NoTreatment
2026-01-15 17:05:28.187000036+00:00,data-quality-d799c97f-nlsvf,1768496728.187,476786688,pod,bytes,Treatment
2026-01-15 17:05:58.187000036+00:00,data-quality-d799c97f-nlsvf,1768496758.187,476786688,pod,bytes,Treatment
2026-01-15 17:06:28.187000036+00:00,data-quality-d799c97f-nlsvf,1768496788.187,476790784,pod,bytes,Treatment
2026-01-15 17:06:58.187000036+00:00,data-quality-d799c97f-nlsvf,1768496818.187,476790784,pod,bytes,NoTreatment
2026-01-15 17:05:28.187000036+00:00,evaluation-only-bp9pt-call-load-real-data-service-2874406570,1768496728.187,7892992,pod,bytes,Treatment
2026-01-15 17:05:58.187000036+00:00,evaluation-only-bp9pt-call-load-real-data-service-2874406570,1768496758.187,7892992,pod,bytes,Treatment
2026-01-15 17:06:28.187000036+00:00,evaluation-only-bp9pt-call-load-real-data-service-2874406570,1768496788.187,7892992,pod,bytes,Treatment
2026-01-15 17:06:58.187000036+00:00,evaluation-only-bp9pt-call-load-real-data-service-2874406570,1768496818.187,7892992,pod,bytes,NoTreatment
2026-01-15 17:05:58.187000036+00:00,evaluation-only-bp9pt-call-privacy-tracking-service-1095947209,1768496758.187,5517312,pod,bytes,Treatment
2026-01-15 17:06:28.187000036+00:00,evaluation-only-bp9pt-call-privacy-tracking-service-1095947209,1768496788.187,5517312,pod,bytes,Treatment
2026-01-15 17:06:58.187000036+00:00,evaluation-only-bp9pt-call-privacy-tracking-service-1095947209,1768496818.187,5517312,pod,bytes,NoTreatment
2026-01-15 17:05:58.187000036+00:00,full-data-generation-and-evaluation-8d64n-call-generate-address-service-1148650272,1768496758.187,6021120,pod,bytes,Treatment
2026-01-15 17:06:28.187000036+00:00,full-data-generation-and-evaluation-8d64n-call-generate-address-service-1148650272,1768496788.187,6021120,pod,bytes,Treatment
2026-01-15 17:06:58.187000036+00:00,full-data-generation-and-evaluation-8d64n-call-generate-address-service-1148650272,1768496818.187,6021120,pod,bytes,NoTreatment
2026-01-15 17:06:28.187000036+00:00,full-data-generation-and-evaluation-8d64n-call-generate-id-service-4054394684,1768496788.187,3280896,pod,bytes,Treatment
2026-01-15 17:06:58.187000036+00:00,full-data-generation-and-evaluation-8d64n-call-generate-id-service-4054394684,1768496818.187,3280896,pod,bytes,NoTreatment
2026-01-15 17:05:28.187000036+00:00,full-data-generation-and-evaluation-8d64n-call-generate-name-service-2372498357,1768496728.187,5414912,pod,bytes,Treatment
2026-01-15 17:05:58.187000036+00:00,full-data-generation-and-evaluation-8d64n-call-generate-name-service-2372498357,1768496758.187,5414912,pod,bytes,Treatment
2026-01-15 17:06:28.187000036+00:00,full-data-generation-and-evaluation-8d64n-call-generate-name-service-2372498357,1768496788.187,5414912,pod,bytes,Treatment
2026-01-15 17:06:58.187000036+00:00,full-data-generation-and-evaluation-8d64n-call-generate-name-service-2372498357,1768496818.187,5414912,pod,bytes,NoTreatment
2026-01-15 17:04:58.187000036+00:00,generate-address-7d58d5bb8-mgfgf,1768496698.187,80183296,pod,bytes,NoTreatment
2026-01-15 17:05:28.187000036+00:00,generate-address-7d58d5bb8-mgfgf,1768496728.187,80183296,pod,bytes,Treatment
2026-01-15 17:05:58.187000036+00:00,generate-address-7d58d5bb8-mgfgf,1768496758.187,80187392,pod,bytes,Treatment
2026-01-15 17:06:28.187000036+00:00,generate-address-7d58d5bb8-mgfgf,1768496788.187,80187392,pod,bytes,Treatment
2026-01-15 17:06:58.187000036+00:00,generate-address-7d58d5bb8-mgfgf,1768496818.187,80187392,pod,bytes,NoTreatment
2026-01-15 17:04:58.187000036+00:00,generate-birthday-65888b8c76-n2srp,1768496698.187,78356480,pod,bytes,NoTreatment
2026-01-15 17:05:28.187000036+00:00,generate-birthday-65888b8c76-n2srp,1768496728.187,78356480,pod,bytes,Treatment
2026-01-15 17:05:58.187000036+00:00,generate-birthday-65888b8c76-n2srp,1768496758.187,78364672,pod,bytes,Treatment
2026-01-15 17:06:28.187000036+00:00,generate-birthday-65888b8c76-n2srp,1768496788.187,78364672,pod,bytes,Treatment
2026-01-15 17:06:58.187000036+00:00,generate-birthday-65888b8c76-n2srp,1768496818.187,78364672,pod,bytes,NoTreatment
2026-01-15 17:04:58.187000036+00:00,generate-id-598df94799-n6xd7,1768496698.187,78626816,pod,bytes,NoTreatment
2026-01-15 17:05:28.187000036+00:00,generate-id-598df94799-n6xd7,1768496728.187,78626816,pod,bytes,Treatment
2026-01-15 17:05:58.187000036+00:00,generate-id-598df94799-n6xd7,1768496758.187,78630912,pod,bytes,Treatment
2026-01-15 17:06:28.187000036+00:00,generate-id-598df94799-n6xd7,1768496788.187,78630912,pod,bytes,Treatment
2026-01-15 17:06:58.187000036+00:00,generate-id-598df94799-n6xd7,1768496818.187,78630912,pod,bytes,NoTreatment
2026-01-15 17:04:58.187000036+00:00,generate-name-84f98cfb7c-ffmbp,1768496698.187,117940224,pod,bytes,NoTreatment
2026-01-15 17:05:28.187000036+00:00,generate-name-84f98cfb7c-ffmbp,1768496728.187,117944320,pod,bytes,Treatment
2026-01-15 17:05:58.187000036+00:00,generate-name-84f98cfb7c-ffmbp,1768496758.187,117944320,pod,bytes,Treatment
2026-01-15 17:06:28.187000036+00:00,generate-name-84f98cfb7c-ffmbp,1768496788.187,117944320,pod,bytes,Treatment
2026-01-15 17:06:58.187000036+00:00,generate-name-84f98cfb7c-ffmbp,1768496818.187,117944320,pod,bytes,NoTreatment
2026-01-15 17:04:58.187000036+00:00,load-data-5d86bdd8dd-h7lj2,1768496698.187,40337408,pod,bytes,NoTreatment
2026-01-15 17:05:28.187000036+00:00,load-data-5d86bdd8dd-h7lj2,1768496728.187,40390656,pod,bytes,Treatment
2026-01-15 17:05:58.187000036+00:00,load-data-5d86bdd8dd-h7lj2,1768496758.187,40349696,pod,bytes,Treatment
2026-01-15 17:06:28.187000036+00:00,load-data-5d86bdd8dd-h7lj2,1768496788.187,40345600,pod,bytes,Treatment
2026-01-15 17:06:58.187000036+00:00,load-data-5d86bdd8dd-h7lj2,1768496818.187,40345600,pod,bytes,NoTreatment
2026-01-15 17:05:28.187000036+00:00,parallel-evaluation-only-gn2jx-call-load-real-data-service-999772572,1768496728.187,5701632,pod,bytes,Treatment
2026-01-15 17:05:58.187000036+00:00,parallel-evaluation-only-gn2jx-call-load-real-data-service-999772572,1768496758.187,5701632,pod,bytes,Treatment
2026-01-15 17:06:28.187000036+00:00,parallel-evaluation-only-gn2jx-call-load-real-data-service-999772572,1768496788.187,5701632,pod,bytes,Treatment
2026-01-15 17:06:58.187000036+00:00,parallel-evaluation-only-gn2jx-call-load-real-data-service-999772572,1768496818.187,5701632,pod,bytes,NoTreatment
2026-01-15 17:05:58.187000036+00:00,parallel-evaluation-only-gn2jx-call-privacy-tracking-service-3066759315,1768496758.187,6725632,pod,bytes,Treatment
2026-01-15 17:06:28.187000036+00:00,parallel-evaluation-only-gn2jx-call-privacy-tracking-service-3066759315,1768496788.187,6725632,pod,bytes,Treatment
2026-01-15 17:06:58.187000036+00:00,parallel-evaluation-only-gn2jx-call-privacy-tracking-service-3066759315,1768496818.187,6725632,pod,bytes,NoTreatment
